host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,host_days_active,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,first_review_interval,time_since_last_review,last_review_interval
2017-10-09,Santo Antnio,38.72413,-9.15377,Private room,2,88.0,2,365,14,349,13,13,2,2022-05-04,2022-09-10,4.85,4.77,11,2.91,1797.0,1.5,0,0,0,0,133.0,0-6 months,4.0,0-2 weeks
2017-05-15,Santo Antnio,38.72314,-9.15091,Entire home/apt,2,88.0,1,365,3,289,12,12,2,2022-06-01,2022-08-29,4.83,5.0,3,3.43,1944.0,1.0,0,1,0,0,105.0,0-6 months,16.0,2-8 weeks
2016-08-05,Penha de Frana,38.73382,-9.12879,Entire home/apt,5,209.0,1,1125,1,94,1,1,0,2022-05-01,2022-05-01,5.0,5.0,28,0.22,2227.0,2.0,0,1,0,1,136.0,0-6 months,136.0,2-6 months
2015-07-08,So Vicente,38.71953,-9.12634,Entire home/apt,2,113.0,3,35,4,101,4,4,0,2022-05-20,2022-08-03,5.0,5.0,1,1.02,2621.0,1.0,0,1,1,0,117.0,0-6 months,42.0,2-8 weeks
2019-01-16,Penha de Frana,38.72797,-9.13072,Entire home/apt,4,100.0,2,365,0,283,5,5,0,2022-05-13,2022-06-02,3.4,3.8,19,1.2,1333.0,1.0,0,0,0,0,124.0,0-6 months,104.0,2-6 months
2022-04-05,Penha de Frana,38.729427,-9.127037,Entire home/apt,6,211.0,3,1125,0,82,5,5,2,2022-07-11,2022-08-24,4.0,4.6,1,2.27,158.0,3.5,1,1,1,1,65.0,0-6 months,21.0,2-8 weeks
2018-04-26,Areeiro,38.739,-9.13263,Private room,2,45.0,7,30,0,0,5,5,1,2022-07-20,2022-08-20,4.6,4.6,34,2.63,1598.0,2.0,0,0,0,0,56.0,0-6 months,25.0,2-8 weeks
2018-04-26,Areeiro,38.74039,-9.13274,Private room,2,45.0,5,30,0,0,4,4,2,2022-07-09,2022-08-29,3.25,4.0,34,1.76,1598.0,2.0,0,0,0,0,67.0,0-6 months,16.0,2-8 weeks
2018-11-15,Areeiro,38.7435,-9.14039,Entire home/apt,2,90.0,3,7,2,142,10,10,0,2022-05-23,2022-07-31,4.9,4.9,9,2.61,1395.0,1.0,0,1,0,0,114.0,0-6 months,45.0,2-8 weeks
2018-04-26,Areeiro,38.73864,-9.13242,Private room,1,45.0,7,30,0,0,7,7,2,2022-07-13,2022-08-29,4.71,5.0,34,3.28,1598.0,2.0,0,0,0,0,63.0,0-6 months,16.0,2-8 weeks
