latitude,longitude,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,time_since_last_review,host_days_active,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
38.69735,-9.19489,4,68.0,4,60,2,98,128,13,1,4.72,4.52,4,1.04,1.0,0,1,0,1,3675.0,19.0,3779.0,1,0,0,0
38.89156,-9.31059,6,130.0,2,180,13,33,13,4,2,4.15,4.38,4,0.15,2.0,0,1,1,1,2586.0,24.0,4094.0,1,0,0,0
38.7056,-9.23021,2,68.0,2,1125,0,257,30,0,0,4.89,4.79,1,0.47,2.0,0,0,1,0,1899.0,1146.0,4055.0,0,0,1,0
38.727,-9.16478,3,80.0,3,365,0,44,32,19,2,4.5,4.3,9,0.28,2.0,0,1,0,0,3382.0,15.0,4221.0,1,0,0,0
38.7162,-9.13928,2,90.0,2,1125,1,316,168,17,2,4.78,4.84,2,1.37,1.0,0,1,0,0,3668.0,14.0,3733.0,1,0,0,0
38.71284,-9.13085,4,65.0,1,30,0,296,468,84,10,4.73,4.92,1,3.99,1.0,0,0,0,1,3517.0,7.0,3777.0,1,0,0,0
38.71135,-9.13616,1,66.0,2,1125,6,60,92,7,2,4.78,4.94,15,0.73,1.0,0,1,1,0,3756.0,17.0,4070.0,0,0,1,0
38.71665,-9.14627,2,55.0,5,1125,8,295,186,1,0,4.8,4.94,12,1.46,1.0,0,1,0,1,3831.0,227.0,3899.0,0,0,1,0
38.70498,-9.17156,4,67.0,3,180,2,251,19,8,1,4.26,4.47,11,0.16,1.0,1,1,1,0,3671.0,13.0,4033.0,1,0,0,0
38.70984,-9.14977,4,94.0,1,1125,4,257,147,20,2,4.37,4.68,7,1.2,1.0,0,1,1,1,3671.0,6.0,4488.0,1,0,0,0
38.71724,-9.14755,2,41.0,5,180,2,83,149,0,0,4.61,4.94,12,1.17,1.0,0,1,1,1,3818.0,426.0,3899.0,0,0,1,0
38.74524,-9.14776,3,55.0,2,120,1,145,219,13,2,4.87,4.71,2,1.78,1.0,1,1,1,1,3699.0,24.0,3774.0,1,0,0,0
38.71315,-9.12436,4,87.0,3,1125,6,333,362,57,3,4.8,4.92,1,2.96,1.0,0,1,0,1,3663.0,16.0,3730.0,1,0,0,0
38.70691,-9.14846,2,65.0,3,190,0,183,187,18,1,4.66,4.88,1,1.49,1.0,0,1,1,1,3760.0,18.0,4017.0,1,0,0,0
38.71259,-9.12912,2,48.0,6,28,0,94,337,25,2,4.84,4.83,1,2.71,1.0,0,1,1,0,3729.0,16.0,3770.0,1,0,0,0
38.71337,-9.12548,6,140.0,4,90,4,325,116,9,2,4.65,4.87,5,0.95,1.0,1,1,1,1,3649.0,13.0,3884.0,1,0,0,0
38.9671,-9.41833,6,195.0,5,1125,13,95,39,7,1,4.76,4.92,11,0.32,2.0,0,1,1,1,3664.0,11.0,3730.0,1,0,0,0
38.71376,-9.1364,2,84.0,3,1125,3,252,414,56,5,4.92,4.93,1,3.35,1.0,0,0,1,1,3711.0,4.0,3770.0,1,0,0,0
38.71095,-9.14837,4,159.0,2,180,6,170,86,32,3,4.7,4.91,3,0.74,1.0,0,1,0,1,3466.0,12.0,3766.0,1,0,0,0
38.71255,-9.12677,3,154.0,2,7,2,313,186,49,3,4.6,4.87,78,1.53,0.0,0,1,1,0,3647.0,5.0,3455.0,1,0,0,0
38.75956,-9.19062,4,91.0,3,120,0,8,24,7,2,4.42,4.46,2,0.2,1.0,0,1,0,0,3597.0,13.0,3725.0,1,0,0,0
38.71326,-9.13509,4,91.0,3,90,4,272,203,53,2,4.94,4.97,1,1.67,1.0,0,1,1,1,3635.0,20.0,3646.0,1,0,0,0
38.71214,-9.12936,3,80.0,4,1125,3,220,349,21,5,4.74,4.87,8,2.8,1.0,0,0,0,1,3739.0,5.0,4103.0,1,0,0,0
38.7107,-9.1435,4,101.0,2,1125,0,0,192,35,3,4.66,4.8,1,1.64,1.0,0,1,0,1,3515.0,8.0,3645.0,1,0,0,0
38.73319,-9.13452,1,36.0,90,395,0,225,78,11,0,4.67,4.61,5,0.68,1.0,0,0,0,0,3461.0,83.0,3712.0,0,0,1,0
38.72068,-9.13157,2,163.0,2,1125,0,167,591,75,8,4.9,4.89,3,4.81,1.0,0,1,1,0,3684.0,6.0,3767.0,1,0,0,0
38.69778,-9.42152,2,157.0,5,1125,8,258,25,8,0,4.96,5.0,1,0.22,2.0,1,1,1,1,3345.0,65.0,3735.0,1,0,0,0
38.73708,-9.14621,5,55.0,3,180,0,111,251,10,0,4.86,4.71,2,2.22,2.0,1,1,1,1,3392.0,136.0,3774.0,1,0,0,0
