host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating
2012-01-01,Santo Antnio,38.71563,-9.1457,Entire home/apt,6,111.0,3,185,2,38,262,12,3,2012-01-22,2022-08-28,4.73,4.93,1,2.02,1.5,0,1,0,0
2011-04-14,Alvalade,38.74736,-9.13191,Private room,2,45.0,1,1125,0,301,54,8,3,2011-08-28,2022-08-24,4.42,4.34,7,0.4,1.0,0,0,1,0
2011-07-15,Santa Maria Maior,38.71344,-9.13509,Entire home/apt,4,109.0,4,30,4,82,212,1,0,2011-09-19,2022-07-22,4.86,4.82,2,1.58,1.5,0,1,1,1
2011-07-15,Santa Maria Maior,38.71043,-9.13087,Entire home/apt,2,99.0,3,90,0,216,442,47,6,2011-07-30,2022-09-11,4.92,4.92,2,3.26,1.0,0,1,1,0
2011-06-28,Santa Maria Maior,38.71133,-9.13093,Entire home/apt,6,90.0,3,730,4,263,177,17,4,2014-08-20,2022-08-28,4.63,4.82,6,1.8,2.0,0,1,0,0
2011-06-28,Santa Maria Maior,38.70916,-9.13222,Entire home/apt,6,95.0,3,365,2,213,292,38,3,2011-09-05,2022-08-29,4.66,4.85,6,2.17,3.0,1,1,0,0
2012-01-12,Santa Maria Maior,38.71235,-9.1275,Entire home/apt,4,90.0,3,1125,1,286,9,8,2,2017-04-10,2022-08-25,5.0,5.0,3,0.14,1.0,0,1,1,0
2011-08-03,Santa Maria Maior,38.7129,-9.13817,Entire home/apt,5,154.0,2,365,0,298,158,20,2,2013-06-10,2022-08-26,4.86,4.94,16,1.4,2.0,1,1,0,1
2012-01-12,Santa Maria Maior,38.71252,-9.12911,Entire home/apt,4,83.0,3,1125,4,301,26,23,0,2015-07-21,2022-07-27,4.64,4.68,3,0.3,1.0,0,1,1,0
2011-07-31,Santa Maria Maior,38.71677,-9.13359,Entire home/apt,2,91.0,4,1124,9,43,88,13,0,2016-07-10,2022-06-15,4.58,4.7,5,1.17,1.0,0,1,1,0
2011-08-01,Santa Maria Maior,38.71095,-9.13192,Entire home/apt,4,170.0,2,30,4,318,472,66,6,2011-10-30,2022-09-10,4.85,4.92,3,3.56,1.0,0,1,1,1
2012-04-14,Colares,38.80579,-9.4721,Entire home/apt,2,102.0,2,1125,17,42,232,16,2,2012-08-28,2022-08-28,4.77,4.76,4,1.9,1.0,0,1,1,0
2012-01-25,Cascais e Estoril,38.70492,-9.39986,Entire home/apt,5,100.0,4,1125,0,0,133,15,0,2014-04-15,2022-08-01,4.71,4.86,2,1.3,1.0,0,1,1,1
2012-04-14,Colares,38.80601,-9.47216,Entire home/apt,2,94.0,2,1125,8,26,159,20,4,2013-09-04,2022-08-24,4.66,4.69,4,1.45,1.0,1,1,1,0
2012-01-25,Santa Maria Maior,38.70989,-9.13637,Entire home/apt,6,130.0,3,25,1,81,319,63,3,2012-04-09,2022-08-29,4.8,4.96,1,2.51,1.5,0,1,0,1
2012-04-24,Misericrdia,38.71441,-9.14908,Private room,2,81.0,3,21,2,26,309,35,1,2013-01-11,2022-08-15,4.83,4.84,1,2.62,1.0,0,0,1,0
2011-05-29,Lumiar,38.77596,-9.15101,Entire home/apt,2,45.0,14,1125,0,292,32,9,1,2016-07-19,2022-08-19,4.65,4.33,1,0.43,1.0,0,1,1,1
2011-08-03,Santa Maria Maior,38.71095,-9.13673,Entire home/apt,5,154.0,2,360,1,218,141,41,4,2012-01-06,2022-09-02,4.92,4.96,16,1.08,2.0,1,1,0,1
2012-04-25,Misericrdia,38.71109,-9.14715,Entire home/apt,2,91.0,3,30,1,214,660,84,7,2012-05-06,2022-09-09,4.98,4.94,1,5.23,1.0,1,0,1,1
2011-06-28,Santa Maria Maior,38.71052,-9.13365,Entire home/apt,4,60.0,3,730,0,139,124,0,0,2013-08-09,2020-09-08,4.7,4.92,6,1.12,2.0,0,1,0,0
2011-06-29,Cascais e Estoril,38.71015,-9.40746,Entire home/apt,3,82.0,3,100,0,197,64,7,0,2012-05-21,2022-08-03,4.45,4.73,2,0.51,1.0,0,1,1,0
2012-02-03,So Vicente,38.71633,-9.13107,Entire home/apt,3,70.0,3,30,3,69,356,9,3,2012-03-17,2022-09-07,4.78,4.68,5,2.79,1.0,0,1,0,1
2012-04-26,Santa Maria Maior,38.71579,-9.13382,Entire home/apt,3,85.0,2,14,4,326,231,59,2,2012-05-06,2022-08-23,4.34,4.63,12,1.83,1.0,0,1,1,1
2012-02-06,Misericrdia,38.71386,-9.14483,Entire home/apt,6,85.0,3,1125,4,274,180,31,7,2012-07-30,2022-09-11,4.64,4.88,1,1.46,1.0,0,1,1,1
2011-06-14,Santa Maria Maior,38.71248,-9.12961,Entire home/apt,6,80.0,2,30,3,128,168,8,1,2012-07-13,2022-09-07,4.5,4.91,9,1.36,1.0,1,1,0,1
2012-02-10,Misericrdia,38.71112,-9.14799,Entire home/apt,5,106.0,3,90,2,140,63,19,5,2016-02-04,2022-09-11,4.73,4.95,1,0.78,1.0,1,1,1,0
2011-06-29,Cascais e Estoril,38.70916,-9.40665,Entire home/apt,3,82.0,3,365,0,332,54,10,1,2012-08-02,2022-08-19,4.6,4.65,2,0.44,1.0,0,1,1,0
